Product Name,Manufacturer,Estimated Wholesale Price
VISN 21 Lenalidomide Capsules,Teva / Generic,"$15,000 - $20,000 (WAC per cycle)"
CL25177001 O-Ring,Titan Wheel Corp,$0.05 - $5.00 (Bulk Quote)
PA 2200 Polyamide Powder,EOS GmbH,$105/kg (Bulk)
One Touch Test Strips,LifeScan,$20 (Retail 30ct)
Tandem Infusion Sets,Tandem Diabetes Care,$95 (Box of 10)
Hollister Cath Set #96144,Hollister,$730 (Case of 100)
TRM 835 Treadmill,Precor,"$2,700 - $9,000 (Market/MSRP)"
Aerospray Hematology Stainer,Wescor / Elitech,"$10,600 (Market Estimate)"
Fluent Pro System,Hologic,"$2,500 (System Estimate)"
LX Ultrasound System,Fujifilm Sonosite,"$25,000 - $45,000+ (Est.)"
Rocket Grade Kerosene (RP-1),Haltermann Solutions,Market Rate (~$15/gal)
