Product ID,Product Name,Manufacturer,Estimated Wholesale Price,Match Score,Quantity,Solicitation URL
85,VISN 21 Lenalidomide Capsules Multiple Strengths (Generic),Teva / Generic,"$15,000 - $20,000 (WAC per cycle)",0.67 (Fuzzy: VISN 21 Lenalidomide Capsules),,https://sam.gov/workspace/contract/opp/0b5b3efeb76941a98d38b1f46b5298cd/view
86,CL25177001 O-Ring,Titan Wheel Corp,$0.05 - $5.00 (Bulk Quote),1.00 (Exact),,https://sam.gov/workspace/contract/opp/3c65d15cc57c444cab7c71941df0016b/view
91,PA 2200 Polyamide Powder,EOS GmbH,$105/kg (Bulk),1.00 (Exact),,https://sam.gov/workspace/contract/opp/c22f390edd454a7193b0354ad95c067f/view
104,6515--FY26 Fluent Pro System,Hologic,"$2,500 (System Estimate)",0.76 (Fuzzy: Fluent Pro System),,https://sam.gov/workspace/contract/opp/12821efadfd5463aabcb93577090fa0a/view
111,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,Wescor / Elitech,"$10,600 (Market Estimate)",0.63 (Fuzzy: Aerospray Hematology Stainer),,https://sam.gov/workspace/contract/opp/c5cd879a8650419dac0809820eb7e6b1/view
112,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,Wescor / Elitech,"$10,600 (Market Estimate)",0.63 (Fuzzy: Aerospray Hematology Stainer),,https://sam.gov/workspace/contract/opp/9d62c96d26d44ee1a57c5257921a3737/view
177,CIRCUIT CARD ASSEMB,Hologic,"$2,500 (System Estimate)",0.50 (Fuzzy: Fluent Pro System),,https://sam.gov/workspace/contract/opp/62897826244d4f60acb8e20e53cdc48a/view
241,6650--Therapy System,Fujifilm Sonosite,"$25,000 - $45,000+ (Est.)",0.50 (Fuzzy: LX Ultrasound System),,https://sam.gov/workspace/contract/opp/2bb4fddcc827499faf0609a8312a553a/view
334,ET Automatic Tap Tester,LifeScan,$20 (Retail 30ct),0.50 (Fuzzy: One Touch Test Strips),,https://sam.gov/workspace/contract/opp/50f2c01787234f6599e4ca4f0589eada/view
75,VISN 19 Eyeglasses,Teva / Generic,"$15,000 - $20,000 (WAC per cycle)",0.51 (Fuzzy: VISN 21 Lenalidomide Capsules),,https://sam.gov/workspace/contract/opp/702edddc4a624f12a05283c4da5defb6/view
81,6525--LX Ultrasound System,Fujifilm Sonosite,"$25,000 - $45,000+ (Est.)",0.87 (Fuzzy: LX Ultrasound System),,https://sam.gov/workspace/contract/opp/9b333607163042c2b829915da662cbb3/view
82,"Propellant, Rocket Grade Kerosene (RP1, RP2 and RP2 Special Blend)",Haltermann Solutions,Market Rate (~$15/gal),0.57 (Fuzzy: Rocket Grade Kerosene (RP-1)),,https://sam.gov/workspace/contract/opp/cade603139874c358bb33e37b3dd812c/view
