Product ID,Product Name,Manufacturer,Estimated Wholesale Price,Match Score,Description,Specifications,Quantity,NAICS Code,Contract ID,Solicitation Title,Solicitation URL,Location,Date Added
84,36C25626Q0007 Gulf Coast Medical Physicist and Radiation Safety Officer Services,,,,The Gulf Coast Veterans Health Care System requires Medical Physicist and Radiation Safety Officer (RSO) services under a Service-Disabled Veteran Owned Small Business (SDVOSB) set-aside. The contr...,,,,53627f624c1544c089b8a624c0cf94a1,36C25626Q0007 Gulf Coast Medical Physicist and Radiation Safety Officer Services,https://sam.gov/workspace/contract/opp/53627f624c1544c089b8a624c0cf94a1/view,,2025-12-04 18:10:06
85,VISN 21 Lenalidomide Capsules Multiple Strengths (Generic),Teva / Generic,"$15,000 - $20,000 (WAC per cycle)",0.67 (Fuzzy: VISN 21 Lenalidomide Capsules),"This is a Sources Sought notice for market research purposes issued by the Department of Veterans Affairs, VISN 21. The VA is seeking vendors capable of supplying and delivering multiple strengths ...",,,,0b5b3efeb76941a98d38b1f46b5298cd,VISN 21 Lenalidomide Capsules Multiple Strengths (Generic),https://sam.gov/workspace/contract/opp/0b5b3efeb76941a98d38b1f46b5298cd/view,,2025-12-04 18:10:06
86,CL25177001 O-Ring,Titan Wheel Corp,$0.05 - $5.00 (Bulk Quote),1.00 (Exact),"This is a sole-source solicitation for O-Rings and a Pneumatic Wheel Rim, with the only approved source being Titan Wheel Corporation of Illinois (CAGE 20076). The objective is to establish a firm-...",,,,3c65d15cc57c444cab7c71941df0016b,CL25177001 O-Ring,https://sam.gov/workspace/contract/opp/3c65d15cc57c444cab7c71941df0016b/view,,2025-12-04 18:10:06
87,Operations and Maintenance Services at W. Kerr Scott Reservoir,,,,"The U.S. Army Corps of Engineers intends to procure comprehensive operations and maintenance support services for the W. Kerr Scott Project located in Wilkesboro, North Carolina. The scope of work ...",,,,1e693db39ac44e35a0c409c3f9daf411,Operations and Maintenance Services at W. Kerr Scott Reservoir,https://sam.gov/workspace/contract/opp/1e693db39ac44e35a0c409c3f9daf411/view,,2025-12-04 18:10:06
88,SRS EddyFlux System Pro + Biomet,,,,"The USDA Forest Service, Southern Research Station, has issued a notice of intent to award a sole-source contract to LI-COR for an IRGA (Carbon analyzer) and a complete Biomet system. This equipmen...",,,,336ef8d40ca049aca061c6d8ca008b04,SRS EddyFlux System Pro + Biomet,https://sam.gov/workspace/contract/opp/336ef8d40ca049aca061c6d8ca008b04/view,,2025-12-04 18:10:06
89,J065--TempTrak Sensors Calibration,,,,"This is an award notice for a preventive maintenance (PM) service for a Temp Trak system. The provided documents are for notification of an award and do not contain detailed specifications, quantit...",,,,05120e413c644a6c97ba03befd57d105,J065--TempTrak Sensors Calibration,https://sam.gov/workspace/contract/opp/05120e413c644a6c97ba03befd57d105/view,,2025-12-04 18:10:06
90,6515--PROS-11252025-1481701-593-MATIAROBOTICS,,,,"This is a post-award notice from the VHA's Network Contracting Office 21, issued in accordance with FAR 5.301, to advise the public of a contract action exceeding $25,000.00. The awarded contract i...",,,,2e1baf59faaf485383b7826a26a37fb5,6515--PROS-11252025-1481701-593-MATIAROBOTICS,https://sam.gov/workspace/contract/opp/2e1baf59faaf485383b7826a26a37fb5/view,,2025-12-04 18:10:06
91,PA 2200 Polyamide Powder,EOS GmbH,$105/kg (Bulk),1.00 (Exact),The Naval Research Laboratory (NRL) has issued a Notice of Intent to award a sole source purchase order to EOS of North America for the supply of PA 2200 Polyamide Powder. This is not a competitive...,,,,c22f390edd454a7193b0354ad95c067f,PA 2200 Polyamide Powder,https://sam.gov/workspace/contract/opp/c22f390edd454a7193b0354ad95c067f/view,,2025-12-04 18:10:06
92,"Chelmsford & Tucson CMOP - MED/SURG Supplies One Touch-Test Strips, Tandem Infsuion sets 1001680 & 1001729 and Hollister Cath Set #96144",,,,This is a sources sought notice from the Department of Veterans Affairs for a one-time delivery of brand-name-only medical and surgical supplies. The required products include One Touch Verio gluco...,,,,792354d734f54e8ea82ddba8e7f1660a,"Chelmsford & Tucson CMOP - MED/SURG Supplies One Touch-Test Strips, Tandem Infsuion sets 1001680 & 1001729 and Hollister Cath Set #96144",https://sam.gov/workspace/contract/opp/792354d734f54e8ea82ddba8e7f1660a/view,,2025-12-04 18:10:06
93,Operation and Maintenance of T-AGOS & T-AGM Vessels,,,,Military Sealift Command (MSC) is issuing a sole-source bridge contract to ensure the uninterrupted operation of T-AGOS and T-AGM vessels. The requirement is for the continued provision of highly s...,,,,07571a897bd34724947e0ff9c52d2b6c,Operation and Maintenance of T-AGOS & T-AGM Vessels,https://sam.gov/workspace/contract/opp/07571a897bd34724947e0ff9c52d2b6c/view,,2025-12-04 18:10:06
